Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
CDL Investments New Zealand;CDL Investments New Zealand;CDI.NZ;CDI;CDI;280435135;0,35;;;;;;0,81;;
AFT Pharmaceuticals Ltd.;AFT Pharmaceuticals Ltd.;AFT.NZ;AFT;AFT;104578875;0,35;;;;;;5;;
Serko Ltd.;Serko Ltd.;SKO.NZ;SKO;SKO;92751719;0,95;;;;;;5,03;;
Abano Healthcare Group;Abano Healthcare Group;ABA.NZ;ABA;ABA;26282238;1;;;;;;4,2;;
Eroad;Eroad;ERD.NZ;ERD;ERD;68301620;0,65;;;;;;4,16;;
Green Cross Health Ltd.;Green Cross Health Ltd.;GXH.NZ;GXH;GXH;143152759;0,3;;;;;;1,02;;
Southport New Zealand;Southport New Zealand;SPN.NZ;SPN;SPN;26234898;0,35;;;;;;7,4;;
Metro Performance Glass;Metro Performance Glass;MPG.NZ;MPG;MPG;185378086;0,95;;;;;;0,355;;
ArborGen Holdings Ltd.;ArborGen Holdings Ltd.;ARB.NZ;ARB;ARB;499395391;0,65;;;;;;0,138;;
TIL Logistics Group Ltd.;TIL Logistics Group Ltd.;TLL.NZ;TLL;TLL;87684882;1;;;;;;0,75;;
Steel & Tube Holdings;Steel & Tube Holdings;STU.NZ;STU;STU;165997540;0,85;;;;;;0,63;;
Pacific Edge Ltd.;Pacific Edge Ltd.;PEB.NZ;PEB;PEB;724763562;0,8;;;;;;0,74;;
Seeka Ltd.;Seeka Ltd.;SEK.NZ;SEK;SEK;32115799;0,75;;;;;;4,05;;
Asset Plus Ltd.;Asset Plus Ltd.;APL.NZ;APL;APL;161920433;0,55;;;;;;0,29;;
New Zealand Oil & Gas;New Zealand Oil & Gas;NZO.NZ;NZO;NZO;164430718;0,3;;;;;;0,735;;
AWF Madison Group Ltd.;AWF Madison Group Ltd.;AWF.NZ;AWF;AWF;34325542;1;;;;;;1,48;;
Rakon;Rakon;RAK.NZ;RAK;RAK;229055272;0,65;;;;;;0,39;;
Wellington Drive Technologies;Wellington Drive Technologies;WDT.NZ;WDT;WDT;431914620;0,85;;;;;;0,064;;
Cavalier Corp.;Cavalier Corp.;CAV.NZ;CAV;CAV;68679098;0,7;;;;;;0,32;;
GFNZ Group Ltd. Ordinary Shares;GFNZ Group Ltd. Ordinary Shares;GFL.NZ;GFL;GFL;72935275;0,5;;;;;;0,4;;
Cooks Global Foods Ltd.;Cooks Global Foods Ltd.;CGF.NZ;CGF;CGF;627833831;0,5;;;;;;0,048;;
ikeGPS Group Ltd.;ikeGPS Group Ltd.;IKE.NZ;IKE;IKE;131272177;1;;;;;;1,08;;
Burger Fuel Group Ltd.;Burger Fuel Group Ltd.;BFG.NZ;BFG;BFG;53670195;0,3;;;;;;0,39;;
New Zealand Windfarms;New Zealand Windfarms;NWF.NZ;NWF;NWF;288063584;0,9;;;;;;0,139;;
Just Life Group Ltd.;Just Life Group Ltd.;JLG.NZ;JLG;JLG;89348271;0,3;;;;;;0,85;;
Smartpay;Smartpay;SPY.NZ;SPY;SPY;209466562;0,7;;;;;;0,65;;
Vital Ltd.;Vital Ltd.;VTL.NZ;VTL;VTL;41380880;0,85;;;;;;0,83;;
Solution Dynamics;Solution Dynamics;SDL.NZ;SDL;SDL;14639810;0,5;;;;;;2,67;;
BLIS Technology;BLIS Technology;BLT.NZ;BLT;BLT;1107653565;0,5;;;;;;0,086;;
