Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Mondi Plc.;Mondi Plc.;MNDI.L;MNDI;MNDI;486180045;0,95;;;;;;;;
Johnson Matthey Plc.;Johnson Matthey Plc.;JMAT.L;JMAT;JMAT;198940606;0,85;;;;;;;;
Ocado Group Plc.;Ocado Group Plc.;OCDO.L;OCDO;OCDO;758707754;0,8;;;;;;;;
Pearson Plc.;Pearson Plc.;PSON.L;PSON;PSON;756223985;0,85;;;;;;;;
SAINSBURY(J);SAINSBURY(J);SBRY.L;SBRY;SBRY;2223641808;1;;;;;;;;
Sage Group Plc.;Sage Group Plc.;SGE.L;SGE;SGE;1122633183;0,9;;;;;;;;
Informa Plc.;Informa Plc.;INF.L;INF;INF;1502137804;0,85;;;;;;;;
Itv Plc.;Itv Plc.;ITV.L;ITV;ITV;4025409194;0,75;;;;;;;;
Land Securities Group Plc.;Land Securities Group Plc.;LAND.L;LAND;LAND;751313063;0,9;;;;;;;;
Croda International Plc.;Croda International Plc.;CRDA.L;CRDA;CRDA;131906881;0,85;;;;;;;;
Segro Plc.;Segro Plc.;SGRO.L;SGRO;SGRO;1190957547;0,85;;;;;;;;
Kingfisher Plc.;Kingfisher Plc.;KGF.L;KGF;KGF;2110135884;0,9;;;;;;;;
Easyjet Plc.;Easyjet Plc.;EZJ.L;EZJ;EZJ;456749631;0,95;;;;;;;;
Dcc Plc.;Dcc Plc.;DCC.L;DCC;DCC;101445811;0,95;;;;;;;;
Rsa Insurance Group Plc.;Rsa Insurance Group Plc.;RSA.L;RSA;RSA;1034612623;0,75;;;;;;;;
BRITISH LAND;BRITISH LAND;BLND.L;BLND;BLND;950486849;0,9;;;;;;;;
Smiths Group Plc.;Smiths Group Plc.;SMIN.L;SMIN;SMIN;396300109;0,8;;;;;;;;
Rentokil Initial Plc.;Rentokil Initial Plc.;RTO.L;RTO;RTO;1849332965;0,85;;;;;;;;
ST JAMES'S PLACE;ST JAMES'S PLACE;STJ.L;STJ;STJ;536981464;0,8;;;;;;;;
GVC Holdings Plc.;GVC Holdings Plc.;GVC.L;GVC;GVC;584968672;1;;;;;;;;
MORRISON (WM.) SUPERMARKETS;MORRISON (WM.) SUPERMARKETS;MRW.L;MRW;MRW;2409440388;0,85;;;;;;;;
TAYLOR WIMPEY Plc.;TAYLOR WIMPEY Plc.;TW.L;TW;TW.;3644415185;0,95;;;;;;;;
Schroders Plc.;Schroders Plc.;SDR.L;SDR;SDR;226000000;0,55;;;;;;;;
Admiral Group Plc.;Admiral Group Plc.;ADM.L;ADM;ADM;294442063;0,6;;;;;;;;
Micro Focus International Plc.;Micro Focus International Plc.;MCRO.L;MCRO;MCRO;334735771;0,8;;;;;;;;
SMITH (DS);SMITH (DS);SMDS.L;SMDS;SMDS;1372742225;0,75;;;;;;;;
Barratt Developments Plc.;Barratt Developments Plc.;BDEV.L;BDEV;BDEV;1018308218;0,95;;;;;;;;
Halma Plc.;Halma Plc.;HLMA.L;HLMA;HLMA;380406226;0,9;;;;;;;;
BERKELEY GROUP Holdings;BERKELEY GROUP Holdings;BKG.L;BKG;BKG;136624732;0,85;;;;;;;;
Asos Plc.;Asos Plc.;ASC.L;ASC;ASC;99764802;0,65;;;;;;;;
MARKS & SPENCER GROUP;MARKS & SPENCER GROUP;MKS.L;MKS;MKS;1953387035;0,95;;;;;;;;
Spirax-Sarco Engineering Plc.;Spirax-Sarco Engineering Plc.;SPX.L;SPX;SPX;73736888;0,85;;;;;;;;
UNITED UTILITIES GROUP Plc.;UNITED UTILITIES GROUP Plc.;UU.L;UU;UU.;681900000;0,95;;;;;;;;
Weir Group Plc.;Weir Group Plc.;WEIR.L;WEIR;WEIR;259613517;0,85;;;;;;;;
Rightmove Plc.;Rightmove Plc.;RMV.L;RMV;RMV;886387616;0,95;;;;;;;;
DIRECT LINE INSURANCE GROUP Plc.;DIRECT LINE INSURANCE GROUP Plc.;DLG.L;DLG;DLG;1364600000;0,75;;;;;;;;
ROYAL MAIL GROUP;ROYAL MAIL GROUP;RMG.L;RMG;RMG;1000000000;0,7;;;;;;;;
